state,city,population_2024
Illinois,Abingdon City,2871.0
Illinois,Addieville Village,253.0
Illinois,Addison Village,35728.0
Illinois,Adeline Village,75.0
Illinois,Albany Village,851.0
Illinois,Albers Village,1123.0
Illinois,Albion City,1868.0
Illinois,Aledo City,3522.0
Illinois,Alexis Village,755.0
Illinois,Algonquin Village,30539.0
Illinois,Alhambra Village,602.0
Illinois,Allendale Village,443.0
Illinois,Allenville Village,130.0
Illinois,Allerton Village,253.0
Illinois,Alma Village,305.0
Illinois,Alpha Village,653.0
Illinois,Alsey Village,183.0
Illinois,Alsip Village,18486.0
Illinois,Altamont City,2200.0
Illinois,Alton City,24967.0
Illinois,Altona Village,451.0
Illinois,Alto Pass Village,305.0
Illinois,Alvan (Alvin) Village,224.0
Illinois,Amboy City,2224.0
Illinois,Anchor Village,160.0
Illinois,Andalusia Village,1167.0
Illinois,Andover Village,539.0
Illinois,Anna City,4165.0
Illinois,Annawan Town,860.0
Illinois,Antioch Village,15108.0
Illinois,Apple River Village,333.0
Illinois,Arcola City,2915.0
Illinois,Arenzville Village,358.0
Illinois,Argenta Village,880.0
Illinois,Arlington Village,165.0
Illinois,Arlington Heights Village,75596.0
Illinois,Armington Village,304.0
Illinois,Aroma Park Village,653.0
Illinois,Arrowsmith Village,271.0
Illinois,Arthur Village,2269.0
Illinois,Ashkum Village,716.0
Illinois,Ashland Village,1188.0
Illinois,Ashley City,447.0
Illinois,Ashmore Village,627.0
Illinois,Ashton Village,939.0
Illinois,Assumption City,1123.0
Illinois,Astoria Town,887.0
Illinois,Athens City,1903.0
Illinois,Atkinson Town,930.0
Illinois,Atlanta City,1634.0
Illinois,Atwood Village,1097.0
Illinois,Auburn City,4453.0
Illinois,Augusta Village,539.0
Illinois,Aurora City,180710.0
Illinois,Ava City,547.0
Illinois,Aviston Village,2434.0
Illinois,Avon Village,671.0
Illinois,Baldwin Village,315.0
Illinois,Banner Village,158.0
Illinois,Bannockburn Village,1377.0
Illinois,Bardolph Village,204.0
Illinois,Barrington Village,10615.0
Illinois,Barrington Hills Village,4080.0
Illinois,Barry City,1253.0
Illinois,Bartelso Village,639.0
Illinois,Bartlett Village,40718.0
Illinois,Bartonville Village,5836.0
Illinois,Basco Village,77.0
Illinois,Batavia City,26555.0
Illinois,Batchtown Village,158.0
Illinois,Bath Village,265.0
Illinois,Baylis Village,165.0
Illinois,Bay View Gardens Village,353.0
Illinois,Beach Park Village,14212.0
Illinois,Beardstown City,5803.0
Illinois,Beaverville Village,292.0
Illinois,Beckemeyer Village,923.0
Illinois,Bedford Park Village,585.0
Illinois,Beecher Village,4727.0
Illinois,Beecher City Village,423.0
Illinois,Belgium Village,344.0
Illinois,Belknap Village,86.0
Illinois,Belle Prairie City Town,46.0
Illinois,Belle Rive Village,300.0
Illinois,Belleville City,40560.0
Illinois,Bellevue Village,1903.0
Illinois,Bellflower Village,335.0
Illinois,Bellmont Village,239.0
Illinois,Bellwood Village,18132.0
Illinois,Belvidere City,25325.0
Illinois,Bement Village,1452.0
Illinois,Benld City,1407.0
Illinois,Bensenville Village,18629.0
Illinois,Benson Village,404.0
Illinois,Bentley Town,26.0
Illinois,Benton City,6578.0
Illinois,Berkeley Village,5155.0
Illinois,Berlin Village,142.0
Illinois,Berwyn City,55152.0
Illinois,Bethalto Village,9183.0
Illinois,Bethany Village,1198.0
Illinois,Biggsville Village,287.0
Illinois,Big Rock Village,1086.0
Illinois,Bingham Village,61.0
Illinois,Bishop Hill Village,112.0
Illinois,Bismarck Village,569.0
Illinois,Blandinsville Village,550.0
Illinois,Bloomingdale Village,22622.0
Illinois,Bloomington City,79232.0
Illinois,Blue Island City,21805.0
Illinois,Blue Mound Village,1090.0
Illinois,Bluffs Village,597.0
Illinois,Bluford Village,604.0
Illinois,Bolingbrook Village,74756.0
Illinois,Bondville Village,382.0
Illinois,Bone Gap Village,177.0
Illinois,Bonfield Village,342.0
Illinois,Bonnie Village,364.0
Illinois,Bourbonnais Village,18083.0
Illinois,Bowen Village,447.0
Illinois,Braceville Village,722.0
Illinois,Bradford Village,662.0
Illinois,Bradley Village,15298.0
Illinois,Braidwood City,6245.0
Illinois,Breese City,4629.0
Illinois,Bridgeport City,1686.0
Illinois,Bridgeview Village,16559.0
Illinois,Brighton Village,2164.0
Illinois,Brimfield Village,770.0
Illinois,Broadlands Village,312.0
Illinois,Broadview Village,7867.0
Illinois,Broadwell Village,139.0
Illinois,Brocton Village,263.0
Illinois,Brookfield Village,18885.0
Illinois,Brooklyn Village,623.0
Illinois,Brookport City,691.0
Illinois,Broughton Village,179.0
Illinois,Browning Village,117.0
Illinois,Browns Village,134.0
Illinois,Brownstown Village,679.0
Illinois,Brussels Village,115.0
Illinois,Bryant Village,164.0
Illinois,Buckingham Village,238.0
Illinois,Buckley Village,468.0
Illinois,Buckner Village,398.0
Illinois,Buda Village,465.0
Illinois,Buffalo Village,436.0
Illinois,Buffalo Grove Village,43072.0
Illinois,Bull Valley Village,1136.0
Illinois,Bulpitt Village,206.0
Illinois,Buncombe Village,207.0
Illinois,Bunker Hill City,1591.0
Illinois,Burbank City,28606.0
Illinois,Bureau Junction Village,278.0
Illinois,Burlington Village,526.0
Illinois,Burnham Village,3916.0
Illinois,Burnt Prairie Village,33.0
Illinois,Burr Ridge Village,11202.0
Illinois,Bush Village,237.0
Illinois,Bushnell City,2649.0
Illinois,Butler Village,163.0
Illinois,Byron City,3764.0
Illinois,Cabery Village,233.0
Illinois,Cahokia Heights City,17052.0
Illinois,Cairo City,1523.0
Illinois,Caledonia Village,182.0
Illinois,Calhoun Village,154.0
Illinois,Calumet City City,34855.0
Illinois,Calumet Park Village,6777.0
Illinois,Camargo Village,452.0
Illinois,Cambria Village,1793.0
Illinois,Cambridge Village,2034.0
Illinois,Camden Village,62.0
Illinois,Campbell Hill Village,308.0
Illinois,Camp Point Village,1117.0
Illinois,Campton Hills Village,10894.0
Illinois,Campus Village,140.0
Illinois,Canton City,12896.0
Illinois,Cantrall Village,139.0
Illinois,Capron Village,1402.0
Illinois,Carbon Cliff Village,1808.0
Illinois,Carbondale City,22223.0
Illinois,Carbon Hill Village,383.0
Illinois,Carlinville City,5582.0
Illinois,Carlock Village,569.0
Illinois,Carlyle City,3208.0
Illinois,Carmi City,4679.0
Illinois,Carol Stream Village,39556.0
Illinois,Carpentersville Village,37144.0
Illinois,Carrier Mills Village,1600.0
Illinois,Carrollton City,2374.0
Illinois,Carterville City,5821.0
Illinois,Carthage City,2431.0
Illinois,Cary Village,18031.0
Illinois,Casey City,2376.0
Illinois,Caseyville Village,4395.0
Illinois,Catlin Village,1919.0
Illinois,Cave-In-Rock Village,221.0
Illinois,Cedar Point Village,261.0
Illinois,Cedarville Village,645.0
Illinois,Central City Village,1067.0
Illinois,Centralia City,11787.0
Illinois,Cerro Gordo Village,1295.0
Illinois,Chadwick Village,476.0
Illinois,Champaign City,91961.0
Illinois,Chandlerville Village,519.0
Illinois,Channahon Village,14392.0
Illinois,Chapin Village,462.0
Illinois,Charleston City,17361.0
Illinois,Chatham Village,14639.0
Illinois,Chatsworth Town,1162.0
Illinois,Chebanse Village,1011.0
Illinois,Chenoa City,1699.0
Illinois,Cherry Village,420.0
Illinois,Cherry Valley Village,2888.0
Illinois,Chester City,6759.0
Illinois,Chesterfield Village,165.0
Illinois,Chicago City,2721308.0
Illinois,Chicago Heights City,26533.0
Illinois,Chicago Ridge Village,14036.0
Illinois,Chillicothe City,6052.0
Illinois,Chrisman City,1273.0
Illinois,Christopher City,2621.0
Illinois,Cicero Town,82090.0
Illinois,Cisco Village,252.0
Illinois,Cisne Village,622.0
Illinois,Cissna Park Village,778.0
Illinois,Claremont Village,157.0
Illinois,Clarendon Hills Village,8703.0
Illinois,Clay City Village,819.0
Illinois,Clayton Village,616.0
Illinois,Cleveland Village,153.0
Illinois,Clifton Village,1295.0
Illinois,Clinton City,6881.0
Illinois,Coal City Village,5810.0
Illinois,Coalton Village,301.0
Illinois,Coal Valley Village,3883.0
Illinois,Coatsburg Village,149.0
Illinois,Cobden Village,1040.0
Illinois,Coffeen City,628.0
Illinois,Colchester City,1082.0
Illinois,Coleta Village,161.0
Illinois,Colfax Village,985.0
Illinois,Collinsville City,23766.0
Illinois,Colona City,4960.0
Illinois,Colp Village,175.0
Illinois,Columbia City,10919.0
Illinois,Columbus Village,109.0
Illinois,Compton Village,266.0
Illinois,Concord Village,152.0
Illinois,Congerville Village,503.0
Illinois,Cooksville Village,153.0
Illinois,Cordova Village,663.0
Illinois,Cornell Village,441.0
Illinois,Cortland Town,4592.0
Illinois,Coulterville Village,826.0
Illinois,Country Club Hills City,16238.0
Illinois,Countryside City,6246.0
Illinois,Cowden Village,499.0
Illinois,Crainville Village,1493.0
Illinois,Creal Springs City,498.0
Illinois,Crescent City Village,528.0
Illinois,Crest Hill City,20223.0
Illinois,Creston Village,618.0
Illinois,Crestwood Village,10533.0
Illinois,Crete Village,8371.0
Illinois,Creve Coeur Village,4832.0
Illinois,Crossville Village,601.0
Illinois,Crystal Lake City,41513.0
Illinois,Cuba City,1137.0
Illinois,Cullom Village,506.0
Illinois,Curran Village,210.0
Illinois,Cutler Village,355.0
Illinois,Cypress Village,219.0
Illinois,Dahlgren Village,493.0
Illinois,Dakota Village,479.0
Illinois,Dallas City City,778.0
Illinois,Dalton City Village,436.0
Illinois,Dalzell Village,643.0
Illinois,Damiansville Village,558.0
Illinois,Dana Village,157.0
Illinois,Danforth Village,570.0
Illinois,Danvers Village,1077.0
Illinois,Danville City,27981.0
Illinois,Darien City,22015.0
Illinois,Davis Village,568.0
Illinois,Davis Junction Village,2534.0
Illinois,Dawson Village,511.0
Illinois,Decatur City,68763.0
Illinois,Deer Creek Village,650.0
Illinois,Deerfield Village,19138.0
Illinois,Deer Grove Village,39.0
Illinois,Deer Park Village,3669.0
Illinois,Dekalb City,40491.0
Illinois,De Land Village,442.0
Illinois,Delavan City,1545.0
Illinois,De Pue Village,1573.0
Illinois,De Soto Village,1408.0
Illinois,Des Plaines City,58832.0
Illinois,Detroit Village,74.0
Illinois,De Witt Village,165.0
Illinois,Diamond Village,2702.0
Illinois,Dieterich Village,879.0
Illinois,Divernon Village,1116.0
Illinois,Dix Village,456.0
Illinois,Dixmoor Village,2944.0
Illinois,Dixon City,15156.0
Illinois,Dolton Village,20697.0
Illinois,Dongola Village,645.0
Illinois,Donnellson Village,150.0
Illinois,Donovan Village,238.0
Illinois,Dorchester Village,125.0
Illinois,Dover Village,133.0
Illinois,Dowell Village,367.0
Illinois,Downers Grove Village,50552.0
Illinois,Downs Village,1185.0
Illinois,Du Bois Village,179.0
Illinois,Dunfermline Village,252.0
Illinois,Dunlap Village,1596.0
Illinois,Dupo Village,3797.0
Illinois,Du Quoin City,5611.0
Illinois,Durand Village,1383.0
Illinois,Dwight Village,4032.0
Illinois,Eagarville Village,115.0
Illinois,Earlville City,1598.0
Illinois,East Alton Village,5621.0
Illinois,East Brooklyn Village,79.0
Illinois,East Cape Girardeau Village,253.0
Illinois,East Carondelet Village,373.0
Illinois,East Dubuque City,1457.0
Illinois,East Dundee Village,3116.0
Illinois,East Galesburg Village,744.0
Illinois,East Gillespie Village,260.0
Illinois,East Hazel Crest Village,1254.0
Illinois,East Moline City,20995.0
Illinois,Easton Village,302.0
Illinois,East Peoria City,22024.0
Illinois,East St. Louis City,17808.0
Illinois,Eddyville Village,97.0
Illinois,Edgewood Village,392.0
Illinois,Edinburg Village,1055.0
Illinois,Edwardsville City,26715.0
Illinois,Effingham City,12434.0
Illinois,Elburn Village,6826.0
Illinois,El Dara Village,62.0
Illinois,Eldorado City,3583.0
Illinois,Eldred Village,144.0
Illinois,Elgin City,114701.0
Illinois,Elizabeth Village,688.0
Illinois,Elizabethtown Village,223.0
Illinois,Elk Grove Village Village,31802.0
Illinois,Elkhart Village,440.0
Illinois,Elkville Village,834.0
Illinois,Elliott Village,275.0
Illinois,Ellis Grove Village,328.0
Illinois,Ellisville Village,85.0
Illinois,Ellsworth Village,180.0
Illinois,Elmhurst City,46108.0
Illinois,Elmwood City,2041.0
Illinois,Elmwood Park Village,23698.0
Illinois,El Paso City,2732.0
Illinois,Elsah Village,519.0
Illinois,Elvaston Village,145.0
Illinois,Elwood Village,2248.0
Illinois,Emden Village,454.0
Illinois,Emington Village,99.0
Illinois,Energy Village,956.0
Illinois,Enfield Village,778.0
Illinois,Equality Village,506.0
Illinois,Erie Village,1491.0
Illinois,Essex Village,853.0
Illinois,Eureka City,5189.0
Illinois,Evanston City,76006.0
Illinois,Evansville Village,539.0
Illinois,Evergreen Park Village,19301.0
Illinois,Ewing Village,296.0
Illinois,Exeter Village,84.0
Illinois,Fairbury City,3571.0
Illinois,Fairfield City,4790.0
Illinois,Fairmont City Village,2169.0
Illinois,Fairmount Village,589.0
Illinois,Fairview Village,410.0
Illinois,Fairview Heights City,16115.0
Illinois,Farina Village,531.0
Illinois,Farmer City City,1817.0
Illinois,Farmersville Village,667.0
Illinois,Farmington City,2295.0
Illinois,Fayetteville Village,286.0
Illinois,Ferris Village,120.0
Illinois,Fidelity Village,94.0
Illinois,Fieldon Village,162.0
Illinois,Fillmore Village,294.0
Illinois,Findlay Village,649.0
Illinois,Fisher Village,2092.0
Illinois,Fithian Village,473.0
Illinois,Flanagan Village,1023.0
Illinois,Flat Rock Village,319.0
Illinois,Flora City,4647.0
Illinois,Florence Village,17.0
Illinois,Flossmoor Village,9371.0
Illinois,Foosland Village,75.0
Illinois,Ford Heights Village,1752.0
Illinois,Forest City Village,210.0
Illinois,Forest Park Village,13846.0
Illinois,Forest View Village,765.0
Illinois,Forrest Village,1019.0
Illinois,Forreston Village,1403.0
Illinois,Forsyth Village,3656.0
Illinois,Fox Lake Village,10925.0
Illinois,Fox River Grove Village,4747.0
Illinois,Frankfort Village,21160.0
Illinois,Franklin Village,590.0
Illinois,Franklin Grove Village,876.0
Illinois,Franklin Park Village,18110.0
Illinois,Freeburg Village,4518.0
Illinois,Freeman Spur Village,271.0
Illinois,Freeport City,23140.0
Illinois,Fulton City,3581.0
Illinois,Fults Village,26.0
Illinois,Galatia Village,787.0
Illinois,Galena City,3207.0
Illinois,Galesburg City,29289.0
Illinois,Galva City,2396.0
Illinois,Gardner Village,1366.0
Illinois,Garrett Village,129.0
Illinois,Gays Village,211.0
Illinois,Geneseo City,6503.0
Illinois,Geneva City,21168.0
Illinois,Genoa City,5514.0
Illinois,Georgetown City,3001.0
Illinois,Germantown Village,1387.0
Illinois,Germantown Hills Village,3450.0
Illinois,German Valley Village,417.0
Illinois,Gibson City City,3444.0
Illinois,Gifford Village,906.0
Illinois,Gilberts Village,9075.0
Illinois,Gillespie City,3087.0
Illinois,Gilman City,1674.0
Illinois,Girard City,1770.0
Illinois,Gladstone Village,221.0
Illinois,Glasford Village,849.0
Illinois,Glasgow Village,107.0
Illinois,Glen Carbon Village,13883.0
Illinois,Glencoe Village,8720.0
Illinois,Glendale Heights Village,32866.0
Illinois,Glen Ellyn Village,28872.0
Illinois,Glenview Village,47634.0
Illinois,Glenwood Village,8413.0
Illinois,Godfrey Village,17610.0
Illinois,Godley Village,634.0
Illinois,Golconda City,623.0
Illinois,Golden Village,627.0
Illinois,Golden Gate Village,62.0
Illinois,Golf Village,504.0
Illinois,Goodfield Village,958.0
Illinois,Good Hope Village,353.0
Illinois,Goreville Village,1054.0
Illinois,Gorham Village,171.0
Illinois,Grafton City,772.0
Illinois,Grand Ridge Village,508.0
Illinois,Grand Tower City,475.0
Illinois,Grandview Village,1387.0
Illinois,Granite City City,26854.0
Illinois,Grantfork Village,339.0
Illinois,Grant Park Village,1282.0
Illinois,Granville Village,1331.0
Illinois,Grayslake Village,21262.0
Illinois,Grayville City,1502.0
Illinois,Greenfield City,1006.0
Illinois,Green Oaks Village,4107.0
Illinois,Greenup Village,1347.0
Illinois,Green Valley Village,599.0
Illinois,Greenview Village,724.0
Illinois,Greenville City,7126.0
Illinois,Greenwood Village,316.0
Illinois,Gridley Village,1443.0
Illinois,Griggsville City,1051.0
Illinois,Gulfport Village,38.0
Illinois,Gurnee Village,30546.0
Illinois,Hainesville Village,3532.0
Illinois,Hamburg Village,94.0
Illinois,Hamel Village,926.0
Illinois,Hamilton City,2662.0
Illinois,Hammond Village,498.0
Illinois,Hampshire Village,8864.0
Illinois,Hampton Village,1755.0
Illinois,Hanaford Village,315.0
Illinois,Hanna City Village,1248.0
Illinois,Hanover Village,828.0
Illinois,Hanover Park Village,36685.0
Illinois,Hardin Village,765.0
Illinois,Harmon Village,117.0
Illinois,Harrisburg City,7937.0
Illinois,Harristown Village,1270.0
Illinois,Hartford Village,1152.0
Illinois,Hartsburg Village,255.0
Illinois,Harvard City,9408.0
Illinois,Harvel Village,170.0
Illinois,Harvey City,19781.0
Illinois,Harwood Heights Village,8755.0
Illinois,Havana City,2826.0
Illinois,Hawthorn Woods Village,9584.0
Illinois,Hazel Crest Village,13036.0
Illinois,Hebron Village,1396.0
Illinois,Hecker Village,421.0
Illinois,Henderson Village,257.0
Illinois,Hennepin Village,747.0
Illinois,Henning Village,201.0
Illinois,Henry City,2298.0
Illinois,Herrick Village,358.0
Illinois,Herrin City,12253.0
Illinois,Herscher Village,1493.0
Illinois,Hettick Village,143.0
Illinois,Heyworth Village,2883.0
Illinois,Hickory Hills City,14118.0
Illinois,Hidalgo Village,108.0
Illinois,Highland City,10028.0
Illinois,Highland Park City,30794.0
Illinois,Highwood City,5358.0
Illinois,Hillcrest Village,1206.0
Illinois,Hillsboro City,5761.0
Illinois,Hillsdale Village,413.0
Illinois,Hillside Village,8031.0
Illinois,Hillview Village,92.0
Illinois,Hinckley Village,1976.0
Illinois,Hindsboro Village,273.0
Illinois,Hinsdale Village,17598.0
Illinois,Hodgkins Village,1487.0
Illinois,Hoffman Village,431.0
Illinois,Hoffman Estates Village,50920.0
Illinois,Holiday Hills Village,606.0
Illinois,Hollowayville Village,44.0
Illinois,Homer Village,1076.0
Illinois,Homer Glen Village,24852.0
Illinois,Hometown City,4193.0
Illinois,Homewood Village,18789.0
Illinois,Hoopeston City,4691.0
Illinois,Hooppole Village,173.0
Illinois,Hopedale Village,802.0
Illinois,Hopewell Village,415.0
Illinois,Hopkins Park Village,625.0
Illinois,Hoyleton Village,505.0
Illinois,Hudson Village,1767.0
Illinois,Huey Village,162.0
Illinois,Hull Village,373.0
Illinois,Humboldt Village,356.0
Illinois,Hume Village,313.0
Illinois,Huntley Village,28495.0
Illinois,Hurst City,750.0
Illinois,Hutsonville Village,471.0
Illinois,Illiopolis Village,834.0
Illinois,Ina Village,1648.0
Illinois,Indian Creek Village,535.0
Illinois,Indian Head Park Village,3956.0
Illinois,Indianola Village,219.0
Illinois,Industry Village,387.0
Illinois,Inverness Village,7428.0
Illinois,Iola Village,96.0
Illinois,Ipava Village,426.0
Illinois,Iroquois Village,131.0
Illinois,Irving Village,363.0
Illinois,Irvington Village,566.0
Illinois,Irwin Village,67.0
Illinois,Island Lake Village,8066.0
Illinois,Itasca Village,9506.0
Illinois,Iuka Village,490.0
Illinois,Ivesdale Village,262.0
Illinois,Jacksonville City,17801.0
Illinois,Jeffersonville Village,350.0
Illinois,Jeisyville Village,100.0
Illinois,Jerome Village,1646.0
Illinois,Jerseyville City,8350.0
Illinois,Jewett Village,194.0
Illinois,Johnsburg Village,6428.0
Illinois,Johnsonville Village,71.0
Illinois,Johnston City City,3309.0
Illinois,Joliet City,151837.0
Illinois,Jonesboro City,1655.0
Illinois,Joppa Village,333.0
Illinois,Joy Village,359.0
Illinois,Junction Village,54.0
Illinois,Junction City Village,523.0
Illinois,Justice Village,12267.0
Illinois,Kampsville Village,292.0
Illinois,Kane Village,280.0
Illinois,Kaneville Village,447.0
Illinois,Kangley Village,229.0
Illinois,Kankakee City,23535.0
Illinois,Kansas Village,649.0
Illinois,Kappa Village,233.0
Illinois,Karnak Village,403.0
Illinois,Kaskaskia Village,23.0
Illinois,Keenes Village,49.0
Illinois,Keensburg Village,172.0
Illinois,Keithsburg City,545.0
Illinois,Kell Village,170.0
Illinois,Kempton Village,177.0
Illinois,Kenilworth Village,2437.0
Illinois,Kenney Village,306.0
Illinois,Kewanee City,12146.0
Illinois,Keyesport Village,403.0
Illinois,Kilbourne Village,259.0
Illinois,Kildeer Village,4554.0
Illinois,Kincaid Village,1314.0
Illinois,Kinderhook Village,183.0
Illinois,Kingston Village,1095.0
Illinois,Kingston Mines Village,267.0
Illinois,Kinmundy City,711.0
Illinois,Kinsman Village,87.0
Illinois,Kirkland Village,1621.0
Illinois,Kirkwood Village,648.0
Illinois,Knoxville City,2840.0
Illinois,Lacon City,1838.0
Illinois,Ladd Village,1387.0
Illinois,La Fayette Village,154.0
Illinois,La Grange Village,15943.0
Illinois,La Grange Park Village,13459.0
Illinois,La Harpe City,1137.0
Illinois,Lake Barrington Village,5160.0
Illinois,Lake Bluff Village,5600.0
Illinois,Lake Forest City,19642.0
Illinois,Lake In The Hills Village,28706.0
Illinois,Lake Ka-Ho Village,198.0
Illinois,Lakemoor Village,6451.0
Illinois,Lake Villa Village,8737.0
Illinois,Lakewood Village,4287.0
Illinois,Lake Zurich Village,19960.0
Illinois,La Moille Village,670.0
Illinois,Lanark City,1463.0
Illinois,Lansing Village,28107.0
Illinois,La Prairie Village,40.0
Illinois,La Rose Village,98.0
Illinois,Lasalle City,9424.0
Illinois,Latham Village,323.0
Illinois,Lawrenceville City,4315.0
Illinois,Leaf River Village,419.0
Illinois,Lebanon City,4628.0
Illinois,Lee Village,308.0
Illinois,Leland Village,928.0
Illinois,Leland Grove City,1409.0
Illinois,Lemont Village,18203.0
Illinois,Lena Village,2666.0
Illinois,Lenzburg Village,448.0
Illinois,Leonore Village,121.0
Illinois,Lerna Village,218.0
Illinois,Le Roy City,3495.0
Illinois,Lewistown City,1960.0
Illinois,Lexington City,2097.0
Illinois,Liberty Village,523.0
Illinois,Libertyville Village,20643.0
Illinois,Lily Lake Village,1059.0
Illinois,Lima Village,143.0
Illinois,Limestone Village,1524.0
Illinois,Lincoln City,13047.0
Illinois,Lincolnshire Village,8008.0
Illinois,Lincolnwood Village,13055.0
Illinois,Lindenhurst Village,14564.0
Illinois,Lisbon Village,274.0
Illinois,Lisle Village,23548.0
Illinois,Litchfield City,6587.0
Illinois,Littleton Village,136.0
Illinois,Little York Village,268.0
Illinois,Liverpool Village,91.0
Illinois,Livingston Village,749.0
Illinois,Loami Village,797.0
Illinois,Lockport City,26915.0
Illinois,Loda Village,331.0
Illinois,Lomax Village,379.0
Illinois,Lombard Village,44490.0
